SiteName,SiteAb,Rodne_PID,PCID,Insol,SolarIns,elevation_m,PVT,TPI,AET_1900_09,AET_2000_09,AET_2000_09SD,CWD_1900_09,CWD_2000_09,CWD_2000_09SD,POINT_X,POINT_Y,WatBal_AET_Current_V1_2019,WB_AET_Current_V2_2022,WatBal_AET_Futr_V1_2019,WB_AET_Future_V2_2022,WatBal_PET_Current_V1_2019,WB_PET_Current_V2_2022,WatBal_PET_Futr_V1_2019,WB_PET_Future_V2_2022,WatBal_Deficit_Current_V1_OR_2019,WB_Deficit_Current_V2_2022_2023,WatBal_Deficit_Futr_V1_OR_2019,WB_Deficit_Future_V2_2022
Emigrant Creek,EM,M08,EM08,Warm,1195016.25,1030,Douglas-fir - Dry,Mid Slope,456.1000061,421.7000122,53.95748138,670.3800049,755,62.72679138,-122.5402336,42.08816571,380.5060425,520.875,386.3591614,523.9803467,721.5297852,742.0987549,795.020874,810.7324829,341.0237427,221.2237244,408.6617126,286.7521667
Emigrant Creek,EM,M07,EM07,Warm,1178808.625,1019,Douglas-fir - Dry,Mid Slope,456.1000061,421.7000122,53.95748138,670.3800049,755,62.72679138,-122.5417726,42.09035943,378.9230347,521.7174072,384.4750366,524.7689819,715.3317261,737.7954102,787.1854248,805.5383911,336.4086609,216.0780029,402.7104187,280.7693787
Emigrant Creek,EM,M10,EM10,Warm,1206489.75,947,Douglas-fir - Dry,Mid Slope,456.1000061,421.7000122,53.95748138,670.3800049,755,62.72679138,-122.5365195,42.08946617,370.1281738,520.3170776,377.3124695,525.3752441,723.1563721,749.1409912,798.5090332,819.2528076,353.0281982,228.8238831,421.1965332,293.8776245
Emigrant Creek,EM,MA,MEM,Cool,1111147.75,1108,Oregon white oak,Mid Slope,455,423.6000061,58.8255043,634.25,723,65.759552,-122.5459989,42.08990537,387.0151062,528.5504761,390.2119751,530.2426758,705.3407593,735.6539917,770.2462769,802.6619873,318.3256531,207.1035461,380.0343018,272.4193115
Emigrant Creek,EM,M01,EM01,Warm,1258743.625,1176,White fir - Intermediate,Mid Slope,455,423.6000061,58.8255043,634.25,723,65.759552,-122.5476813,42.08816671,389.6036072,534.4470215,395.512146,537.3798828,734.9556274,746.1009521,809.5957031,815.3626099,345.3519897,211.6539459,414.0835266,277.9826965
Emigrant Creek,EM,M03,EM03,Warm,1231680.375,1140,White fir - Intermediate,Mid Slope,455,423.6000061,58.8255043,634.25,723,65.759552,-122.5460469,42.0885606,383.1388245,530.2879639,390.2066345,531.6438599,729.1253052,735.9152222,804.144043,802.5176392,345.9865112,205.627243,413.9373779,270.8737793
Evans Creek,EV,V01,MC01,Cool,1048722.75,942,Douglas-fir - Dry,Ridge Top,495.1000061,467.2000122,66.33822632,542.1500244,625,70.44264221,-122.9748303,42.65074138,390.9163513,534.6433716,395.8571167,524.9746704,674.7802734,708.284668,732.8964233,765.5877686,283.8639221,173.6413422,337.0393372,240.6130829
Evans Creek,EV,V02,MC02,Warm,1188335.875,916,Douglas-fir - Dry,Ridge Top,495.1000061,467.2000122,66.33822632,542.1500244,625,70.44264221,-122.9738103,42.65064552,387.598938,517.8814087,401.9988708,507.1329956,695.7716064,665.1044312,764.6714478,715.7889404,308.1726379,147.223053,362.6725769,208.6559296
Evans Creek,EV,V03,MC03,Warm,1212809.125,829,Douglas-fir - Dry,Mid Slope,495.1000061,467.2000122,66.33822632,542.1500244,625,70.44264221,-122.9719058,42.65046027,401.6610718,506.1401672,407.839447,496.6821899,741.333313,638.1963501,811.4359741,685.6126709,339.6722107,132.0561523,403.5965576,188.930481
Evans Creek,EV,V07,MC07,Warm,1243669.875,928,Douglas-fir - Dry,Ridge Top,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9729482,42.6458659,402.3842468,530.5145264,412.0697937,522.395874,743.1015015,690.2018433,815.4486084,746.0604248,340.7172546,159.6872864,403.3787842,223.664566
Evans Creek,EV,V05,MC05,Cool,1042004.938,805,Douglas-fir - Dry,Mid Slope,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9705901,42.64815278,392.4697876,506.2766724,398.1668396,496.2576904,702.5223389,643.0535278,765.9046021,690.5645142,310.0525208,136.7768555,367.7377625,194.306839
Evans Creek,EV,V06,MC06,Warm,1370136.875,988,Douglas-fir - Dry,Ridge Top,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9743357,42.64636766,409.9215393,541.1112061,421.269043,533.0366821,756.4700317,717.5877686,831.9730225,777.2045288,346.5484924,176.4765625,410.703949,244.1678619
Evans Creek,EV,V06,MC06,Warm,1370136.875,988,Douglas-fir - Dry,Ridge Top,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9743357,42.64636766,409.9215393,541.1112061,421.269043,533.0366821,756.4700317,717.5877686,831.9730225,777.2045288,346.5484924,176.4765625,410.703949,244.1678619
Evans Creek,EV,V09,MC09,Warm,1356551.25,878,Douglas-fir - Dry,Ridge Top,497,464.7000122,66.8970108,544.2600098,627,71.17953491,-122.9723197,42.64423118,407.1253967,527.5801392,411.8635559,520.4620972,764.4245605,677.5838013,838.0532227,731.0177002,357.2991333,150.0036316,426.1896362,210.555603
